,id,dimension,nombre,regimen,localidad,capacidad,geometry,r1_caminable,r1_bicicleta,r1_transporte
339,46008169,educacion,CENTRE PRIVAT LA ENCARNACIÓN,PRIV. CONC.,SUECA,38.0,POINT (732265.2249198713 4342603.988152691),0.000903480241791275,0.00845757266944635,0.0007885889399252582
340,46008170,educacion,CEIP CERVANTES,PÚB.,SUECA,16.0,POINT (731645.4505592574 4342644.712938184),0.001429232191331516,0.0014251939738455465,0.00043838691651442065
341,46008182,educacion,CEIP CARRASQUER,PÚB.,SUECA,8.0,POINT (732336.5120864486 4342997.724774219),0.014724080410372415,0.0032594884489256922,0.00010038381839169648
342,46008273,educacion,CEP 9 D'OCTUBRE,PÚB.,TAVERNES BLANQUES,30.0,POINT (726707.3161170827 4375970.129535247),0.01960835439743513,0.0015528109146807339,0.004931054853074489
348,46008443,educacion,CENTRE PRIVAT JULIO VERNE,PRIV.,MONTE VEDAT,43.0,POINT (715249.3018432416 4365959.036703468),0.001294978862550415,0.0012159434835420505,0.5733442217811989
349,46008546,educacion,CENTRE PRIVAT SAN JOSÉ Y SANTA ANA,PRIV. CONC.,TORRENT,42.0,POINT (718364.7061148213 4368488.43129996),0.044716220941180794,0.012328919412514594,0.0007799547915395139
350,46008561,educacion,CENTRE PRIVAT SANTO TOMÁS DE AQUINO,PRIV. CONC.,TORRENT,17.0,POINT (716806.2576497319 4367937.604848487),0.026103345020005803,0.0004899367459756513,0.0013470844433996943
351,46008649,educacion,CENTRE PRIVAT FASTA MADRE SACRAMENTO,PRIV. CONC.,TORRENT,73.0,POINT (716523.0228200429 4366943.24620489),0.0016479415572368712,0.5733442217811989,0.0037832325917531804
353,46008662,educacion,CENTRE PRIVAT NUESTRA SEÑORA DEL MONTE SIÓN,PRIV. CONC.,TORRENT,52.0,POINT (718230.9981891362 4367839.911305368),0.003992346347987767,0.002044442727292575,0.006609140945046314
354,46008674,educacion,CENTRE PRIVAT MARÍA AUXILIADORA,PRIV. CONC.,TORRENT,22.0,POINT (718018.2176492701 4367812.267087716),0.007004414602654929,0.00496843537217142,0.0022321722303690556
355,46008686,educacion,CENTRE PRIVAT LA PURÍSIMA,PRIV. CONC.,TORRENT,48.0,POINT (717960.4335030366 4368274.54762515),0.47778922410238095,0.004294043018827159,0.0006904184819708877
